Formula,Space group number,Band Gap (eV),Debye T (K)
Dy3O12Sb5,217,3.16,384
Dy2O7Sn2,227,2.71,446
DyPS4,142,2.16,293
Dy4S12Si3,14,2.36,244
Er3F5O2,62,5.62,320
Er3GaO6,36,3.54,336
Er3Ga5O12,230,3.33,478
Er3GaS6,36,2.11,219
ErO14P5,62,5.44,513
ErO14P5,15,5.23,512
Er2OS2,14,2.65,287
Er2O2S,164,3.07,305
Er3O12Sb5,217,3.12,379
Er2O7Sn2,227,2.67,431
ErPS4,142,2.14,275
EuFO,166,0.00,388
EuF7Sn,4,0.04,254
EuF7Sn,14,0.01,193
EuGeS3,2,0.20,202
EuO14P5,14,0.09,429
EuPS3,14,0.74,252
Eu3S9Sb4,62,0.05,269
Eu2S4Si,11,0.38,265
Eu2S4Sn,62,0.02,266
Eu3S7Sn2,55,0.01,216
F4GaK,62,5.22,274
F6GaLi3,15,6.28,451
F14Ga3Na5,14,5.22,292
FGdO,166,3.30,352
F7GdSn,14,4.45,227
F6GeK2,186,5.89,264
F6GeK2,164,5.80,255
F6GeLi2,136,5.74,418
F6GeLi2,150,6.05,409
F6GeNa2,150,5.79,293
F6GeNa2,164,5.60,271
F6GeRb2,186,5.88,216
F6GeRb2,164,5.80,213
F6GeRb2,225,5.97,195
F7In2K,11,3.90,115
F4InLi,60,4.01,415
F11In3Rb2,11,4.07,96
F10In3Rb,17,3.44,153
F7InSr2,14,4.95,215
F15InZr3,167,5.41,285
F6KP,205,7.22,251
F6KP,148,7.02,319
F13KSb4,87,4.74,124
F13KSb4,82,4.66,136
F7KSb2,14,4.16,53
F6KSb,206,4.96,178
F4KSb,59,4.43,143
F5K2Sb,63,4.68,243
F5K2Sb,4,4.36,193
F5K2Sb,14,4.74,113
F5K2Sb,14,4.74,199
F6K2Si,186,7.19,245
F6K2Si,225,7.22,228
F7K3Si,127,5.92,196
F5KSn2,143,0.46,130
F3KSn,2,3.51,167
FLaO,166,4.23,281
FLaO,129,4.57,295
F7LaSn,14,5.20,156
F6LiP,148,7.54,424
F6LiSb,148,4.93,308
F5Lu3O2,62,5.64,334
F4MoO,14,4.17,366
F6NaP,225,7.01,338
F6NaP,225,7.01,338
F10NaSb3,173,4.97,153
F6NaSb,225,4.89,267
F18Na3Sb5,14,4.38,153
F4NaSb,14,4.33,234
F4NaSb,14,4.33,235
F5Na2Sb,19,4.82,266
F6Na2Si,164,6.87,324
F6Na2Si,150,6.99,268
F6Na2Si,164,6.87,232
F5NaSn2,133,3.78,72
F6Na2Sn,136,4.96,307
FNb3O7,65,1.49,380
F10NbSb,2,4.35,150
FNdO,166,4.50,301
FNdO,166,4.50,301
FOPr,166,4.44,299
FOSc,14,4.59,582
FOSm,166,4.66,348
FO7Ta3,65,2.22,330
FOTb,166,4.93,347
F3OV,14,3.65,489
F4OW,12,3.10,415
F9O6Y7,39,2.72,438
FOY,166,4.93,441
FOY,129,4.95,430
F7RbSb2,14,4.27,38
F6RbSb,148,4.88,227
F6Rb2Si,225,6.99,186
F7Rb3Si,127,5.66,142
F5SbSr,57,4.76,244
F7SmSn,14,4.95,238
F16Sn6Ti,15,2.70,238
F7SnY,4,4.75,276
F7SnY,14,4.90,225
Ga5Gd3O12,230,3.26,489
GaGdO3,62,3.40,490
GaGd3O6,36,2.97,351
Ga5Ho3O12,230,3.33,477
GaHoO3,185,2.87,342
GaHoO3,62,3.61,445
GaHo3O6,36,3.56,380
GaKO2,61,3.05,303
GaK3O3,12,2.62,300
GaK3S3,14,2.71,204
GaLa2N3,15,1.81,336
GaLaO3,167,3.38,449
GaLaO3,62,3.58,435
Ga2La4O9,14,3.89,328
GaLaS3,14,2.22,247
GaLi3N2,206,2.38,680
GaLiO2,33,3.20,468
GaLiO2,166,3.74,655
GaLi5O4,61,3.76,485
GaLiS2,33,2.96,284
Ga5Lu3O12,230,2.35,456
Ga2MgO4,227,3.11,557
Ga2MgS4,15,1.97,238
GaMo4S8,160,0.18,468
Ga3N5Sr3,2,1.36,441
Ga2N4Sr3,52,1.59,406
GaN3Sr3,176,0.57,384
GaN5Sr6,193,0.31,339
GaNaO2,33,2.86,423
GaNaO2,61,2.79,351
Ga2Na8O7,14,2.26,429
GaNa5O4,61,2.20,364
Ga2Na4S5,14,2.48,280
GaNa3S3,14,2.61,276
GaNa3S3,14,2.61,271
Ga5Nd3O12,230,3.06,484
GaNdO3,62,3.45,486
Ga2Nd4O9,14,3.60,363
GaNd3O6,36,3.65,370
GaO3Pr,62,3.39,508
Ga2O9Pr4,14,3.61,351
GaO3Rb3,12,2.42,233
GaO4Rb5,61,1.84,262
Ga5O12Sm3,230,3.16,397
GaO6Sm3,36,3.62,342
Ga4O7Sr,15,2.43,452
Ga2O4Sr,14,3.07,406
Ga2O4Sr,14,3.07,404
Ga4O9Sr3,2,2.89,365
Ga6O14Sr5,14,2.91,350
Ga2O5Sr2,61,2.95,367
Ga2O6Sr3,205,3.53,371
Ga6O19Sr10,15,3.01,306
Ga5O12Tb3,230,3.28,448
GaO3Tb,62,3.64,493
GaO6Tb3,36,3.61,357
Ga4O8Ti,12,2.36,436
Ga2O5Ti,63,2.78,473
Ga5O12Y3,230,3.35,477
GaO3Y,185,2.90,452
GaO6Y3,36,3.68,449
Ga5O12Yb3,230,3.97,398
Ga3RbS5,14,2.52,169
GaRbS2,15,2.47,240
Ga2S4Sr,70,2.96,322
Ga2S5Sr2,61,2.52,332
Ga2S4Yb,70,2.87,327
GdO9P3,20,2.94,527
GdO9P3,15,3.45,469
GdO14P5,14,3.17,532
Gd10OS14,142,1.34,215
Gd2OS2,14,1.82,266
Gd2O2S,164,2.02,298
Gd3O7Sb,20,2.48,384
Gd3O12Sb5,217,2.71,367
Gd2O7Sn2,227,2.62,455
Gd2S5Sn,55,0.06,288
Ge2Ho2O7,227,3.00,473
Ge8K2O17,62,2.90,333
Ge9K4O20,88,3.07,336
Ge4K2O9,165,3.01,298
Ge2K2S5,15,2.32,104
GeK3S3,12,2.40,196
GeK4S4,218,2.71,222
Ge3La2O9,2,3.08,417
Ge2La2O7,1,3.71,369
Ge3La4S12,161,1.94,295
GeLa2S5,14,1.97,162
Ge7Li2O15,60,3.09,350
Ge7Li2O15,60,3.09,350
Ge9Li4O20,5,2.94,401
Ge4Li2O9,29,2.74,362
Ge5Li4O12,2,2.93,426
GeLi2O3,36,3.57,520
GeLi8O6,185,3.49,484
GeLi4S4,62,2.48,334
GeLi4S4,62,2.48,333
GeLi4S4,62,2.48,333
Ge4Lu6O17,13,3.74,345
GeMgN2,33,2.64,623
GeMgO3,63,2.47,676
GeMgO3,148,3.65,589
GeMgO3,61,2.90,454
GeMgO3,15,2.53,475
GeMg2O4,227,3.07,698
Ge5Mg14O24,55,3.45,528
GeMg2S4,62,2.31,318
Ge2N3Na,36,2.33,485
Ge4N6Sr11,125,0.18,317
GeN2Sr2,135,0.05,374
Ge2N6Sr5,15,1.35,410
GeN6Sr7,60,1.13,367
Ge4Na2O9,165,2.87,317
Ge2Na2O5,14,2.96,301
GeNa2O3,36,2.99,414
GeNa2O3,36,2.99,412
Ge2Na2S5,63,2.51,131
GeNa2S3,14,2.45,234
Ge2Na6S7,15,2.43,299
Ge3Nd4S12,161,2.00,350
Ge4O9Rb2,165,2.88,288
GeO3Rb2,14,3.01,175
Ge2O7Sc2,227,3.69,589
GeOSr3,62,0.34,315
Ge4O9Sr,150,3.06,425
GeO3Sr,15,3.41,342
GeO3Sr,2,3.34,344
Ge2O7Y2,227,2.95,529
Ge3Pr4S12,161,2.00,357
Ge2Rb2S5,15,2.34,105
GeRb2S3,12,2.32,154
GeS4Sr2,11,2.32,269
HfOS,198,2.87,365
HfP2S6,43,2.32,117
HfS3Sn,62,1.20,212
Ho3InN,221,0.11,251
HoInO3,185,1.97,332
HoO14P5,62,5.46,492
HoO14P5,15,5.23,490
Ho2O2S,164,3.03,309
Ho3O12Sb5,217,3.13,381
Ho2O7Sn2,227,2.69,446
HoPS4,142,2.15,291
InKO2,166,2.08,488
In4K14O13,14,1.84,366
InK5O4,2,2.23,317
In5KS8,12,1.26,204
In5KS8,12,1.26,204
InKS2,15,2.39,228
InKS2,15,2.39,229
InLaO3,62,2.75,394
InLa3S6,18,1.12,233
InLiO2,141,1.81,561
InLiO2,141,1.81,560
In2MgO4,227,1.84,444
In2MgS4,227,1.76,233
InNSm3,221,0.20,400
In8N7Sr19,225,0.06,322
InNaO2,166,1.91,527
InNa5O4,61,1.72,320
InNa5O4,59,1.77,364
InNaS2,166,1.84,341
InNa3S3,15,2.27,210
InNa5S4,11,2.46,284
InNbO4,13,3.02,448
In4O7Rb2,162,1.45,326
In2O4Sr,62,1.81,409
In2O5Sr2,46,1.00,386
InO4Ta,13,3.57,424
In2O5Ti,62,1.97,365
In2O5V,62,0.51,372
In6O12W,148,2.39,290
InO3Y,185,2.05,393
In5RbS8,12,1.26,229
In3RbS5,10,1.17,136
InRbS2,15,2.10,232
In2Rb4S5,2,2.09,211
InRb3S3,12,2.26,179
InS6Sm3,58,0.99,299
In2S4Sr,70,2.26,250
In5S12Tb3,11,1.34,215
K3N11P6,213,4.00,473
KN7P4,62,3.75,491
KO3P,14,5.34,427
KO3P,14,5.34,438
KO3P,62,4.82,477
KO3P,14,5.34,409
K2O16S5,60,4.55,454
K4O3Sb2,186,1.24,227
K3O3Sb,198,3.23,270
K3O4Sb,13,1.83,389
KO2Sb,15,2.01,354
KO3Sb,148,2.67,451
KO3Sb,201,1.79,387
K3O14Sb5,55,1.20,204
K3O14Sb5,32,1.20,219
KO5Sb3,14,3.11,129
K2O11Sb4,12,1.85,207
K2O3Si,14,3.74,251
K2O5Si2,9,4.33,287
K2O9Si4,176,4.62,420
K2O9Si4,2,4.45,334
K4O3Sn,61,2.11,237
K4O4Sn,2,2.34,271
K2O3Sn,62,2.12,311
K2O3Sn2,166,1.23,249
K2O3Sn2,199,1.31,231
K3PS4,62,2.77,208
KPS3,71,1.70,305
K3S4Sb,217,2.13,255
K3S4Sb,36,2.17,231
KS2Sb,15,1.60,237
K2S7Sb4,15,1.54,96
KS8Sb5,7,1.56,129
K2S5Sn2,15,1.40,129
KS4Sn,14,1.45,116
La5N9Si3,64,1.97,470
La3N11Si6,100,2.97,607
LaN5Si3,19,3.19,594
LaO9P3,20,4.63,485
LaO14P5,14,5.03,510
La10OS14,142,1.94,201
La2O2S,164,3.06,210
LaOS,64,1.52,254
LaOS,57,1.53,261
LaO9Sb3,63,1.49,419
LaO12Sb5,166,3.05,451
La2O7Sn2,227,2.66,412
LaPS4,142,2.43,186
La2S5Si,14,2.34,156
Li7N4P,218,3.47,643
LiN2P,122,3.80,766
Li2N2Si,61,3.85,757
LiN3Si2,36,5.01,823
LiN3Si2,36,5.01,824
LiO3P,13,5.58,440
LiO3P,14,5.56,496
Li7O6Sb,146,3.50,482
Li5O5Sb,12,2.91,527
Li3O4Sb,13,3.06,567
LiO3Sb,52,2.14,440
LiO8Sb3,14,0.97,213
Li8O6Si,185,4.45,479
Li2O3Si,36,5.08,632
Li2O3Si,36,5.08,632
Li2O5Si2,60,5.24,522
Li2O5Si2,37,5.15,525
Li2O7Si3,57,5.23,443
Li8O6Sn,148,3.81,463
Li2O3Sn,15,3.13,535
Li3PS4,62,2.95,305
Li7P3S11,2,2.41,278
LiS2Sb,148,1.18,258
LuO9P3,148,5.67,468
LuO9P3,9,5.79,491
LuO9P3,9,5.79,464
LuO14P5,15,5.45,532
Lu2O2S,164,3.09,302
Lu3O12Sb5,217,3.11,339
Lu2O7Sn2,227,2.61,417
LuPS4,14,2.25,191
Mg2N3P,36,3.54,857
Mg2N3P,36,3.54,856
MgN2Si,33,3.97,865
MgO6P2,15,5.53,412
MgO11P4,14,5.11,413
MgO4Sb2,135,2.55,284
MgO6Sb2,136,1.04,334
Mg14O24Si5,55,4.68,440
MgO3Si,63,4.64,812
MgO3Si,148,5.79,704
MgO3Si,88,4.77,622
MgO3Si,61,3.74,522
MgO3Si,60,4.61,531
MgO3Si,60,4.61,531
MgO3Si,14,4.22,518
MgO3Si,15,4.71,559
MgO3Si,62,5.42,706
MgO3Si,15,4.71,596
Mg2O4Sn,227,1.90,619
MgPS3,12,2.80,306
MoO9P3,9,4.21,396
Mo10O31Sb2,28,0.00,427
MoO6Sb2,2,1.40,276
MoO6Sb2,2,1.40,302
Mo4O6Sn,127,0.02,497
Mo5O8Sn,14,0.97,471
MoSSb2,12,0.01,283
N7NaP4,15,4.21,492
N11Na3P6,198,3.82,482
N2NaP,122,4.68,682
N3NaSi2,36,4.18,723
NNaSn,186,0.92,383
NNbO,14,1.55,626
NOTa,14,1.93,533
NOTa,12,2.24,450
NOTa,12,2.24,450
NOTa,14,1.93,533
N2O5Zr4,108,2.28,475
N11P6Rb3,213,3.92,463
N7P4Rb,62,3.69,485
N4P2Sr,173,4.26,560
N11Pr3Si6,100,2.99,616
N11Si6Sm3,100,3.01,630
N2SiSr,14,2.97,463
N8Si5Sr2,31,3.20,717
N10Si7Sr,7,4.28,787
N8Si6Sr,44,3.21,787
Na5O10P3,15,4.53,453
Na5O10P3,15,4.53,453
NaO3P,88,4.74,540
NaO3P,62,5.08,477
NaO3P,14,4.97,523
NaO3P,2,5.12,530
NaO3P,14,4.97,491
NaO3P,14,4.97,519
Na3O3Sb,217,3.09,382
Na3O4Sb,13,2.12,461
NaO3Sb,148,2.70,352
NaO3Sb,62,1.27,495
NaO3Sb,227,1.49,478
Na2O7Sb4,15,3.06,176
NaO8Sb5,2,2.68,150
Na2O3Si,36,3.87,466
Na2O3Si,36,3.87,472
Na2O5Si2,33,4.46,368
Na2O5Si2,14,4.45,339
Na2O5Si2,33,4.46,355
Na2O5Si2,14,4.45,352
Na2O5Si2,88,3.89,364
Na2O5Si2,60,4.43,359
Na2O5Si2,29,4.42,392
Na2O5Si2,14,4.45,323
Na6O19Si8,14,4.53,355
Na2O7Si3,15,4.68,338
Na2O7Si3,14,4.30,330
Na2O9Si4,14,4.47,356
Na4O3Sn,9,1.89,328
Na4O4Sn,2,2.08,372
Na2O3Sn,15,2.51,470
Na4O8Sn3,213,2.38,366
Na3PS4,114,2.28,315
Na3S4Sb,217,1.91,306
NaS2Sb,12,0.45,220
NaS2Sb,15,0.88,231
Na2S5Si2,63,3.53,173
Na4S4Sn,114,2.07,270
Na6S7Sn2,15,2.08,232
Na4S8Sn3,15,1.65,160
Nb9O25P,82,2.11,465
Nb2O15P4,1,3.28,443
NbO4Sb,52,2.35,396
NbO4Sb,33,2.43,356
Nb2O7Sn2,227,0.86,432
Nb2PS10,18,1.37,202
NbP2S8,118,1.44,229
NbP2S8,64,1.28,210
NdO9P3,20,5.48,452
NdO14P5,53,5.39,460
NdO14P5,14,5.39,460
Nd10OS14,142,1.84,217
Nd2O2S,164,2.86,270
Nd3O7Sb,63,2.74,386
Nd3O7Sb,63,2.74,386
NdO4Sb,14,2.41,431
Nd3O12Sb5,217,3.15,338
Nd2O7Sn2,227,2.66,448
NdPS4,142,2.25,307
Nd6S17Si4,2,2.52,301
O9P3Pr,20,5.48,456
O14P5Pr,14,5.39,457
O3PRb,63,4.52,417
O3PRb,14,4.85,414
O3PRb,14,4.85,349
O3PRb,62,4.76,395
O9P3Sc,9,5.06,514
O9P3Sc,9,5.06,489
O9P3Sc,220,5.15,492
O14P5Sm,14,5.38,424
O13P4Sr3,2,5.21,395
O6P2Sr,4,5.81,336
O6P2Sr,14,5.42,370
O6P2Sr,14,5.42,335
O17P6Sr2,4,5.33,432
OP2Sr4,139,1.21,253
O14P5Tb,14,5.36,511
O9P3Ti,9,0.03,443
O14P5Tm,15,5.23,442
O9P3V,9,2.26,482
O9P3V,9,2.26,464
O19P2W5,14,0.01,374
O13P4Y2,20,5.64,530
O9P3Y,14,5.80,436
O9P3Y,148,5.69,466
O9P3Y,11,5.76,483
O9P3Y,9,5.62,495
O14P5Y,62,5.48,517
O14P5Y,15,5.25,513
O9P3Yb,14,5.77,350
O9P3Yb,148,5.84,366
O12P4Zr,29,4.15,442
O2Pr2S,164,2.86,275
OPr10S14,142,1.84,227
O4PrSb,14,2.20,394
O4PrSb,14,2.20,434
O12Pr3Sb5,217,3.17,340
O7Pr3Sb,63,2.72,391
O7Pr2Sn2,227,2.64,449
O13Rb2Sb8,11,2.33,161
O11Rb2Sb4,12,1.82,196
O14Rb3Sb5,55,1.17,192
O2RbSb,15,2.25,325
O23Rb6Si10,38,4.31,360
O23Rb6Si10,38,4.31,361
O23Rb6Si10,189,4.02,366
O5Rb2Si2,15,4.04,210
O17Rb10Si6,61,3.47,274
O3Rb2Si,14,3.43,181
O17Rb14Si10,14,1.49,261
O3Rb2Sn2,166,1.23,226
O4Rb4Sn,2,2.16,249
O2Rb2Sn,19,2.23,196
O2SSc2,194,2.01,618
O2SSm2,164,2.90,312
OS2Sm2,14,2.41,334
OS14Sm10,142,1.85,259
O2STb2,164,2.98,302
OS2Tb2,14,2.51,275
O2STm2,164,3.10,314
OS2Tm2,14,2.69,346
O2SY2,164,2.99,399
OS2Y2,14,2.55,304
OS2Yb2,14,0.70,366
OSZr,198,2.42,435
OSZr,129,0.79,481
O4SbSm,14,2.47,417
O3SbSm3,12,0.00,315
O12Sb5Sm3,217,3.13,307
O7Sb2Sr2,74,1.36,313
O6Sb2Sr,162,2.78,328
OSb2Sr4,139,0.98,275
O7SbTb3,63,2.96,392
O7SbTb3,20,2.76,387
O12Sb5Tm3,217,3.11,293
O7SbY3,63,2.80,486
O7Sc2Si2,227,3.76,645
O3SiSr,15,4.63,362
O3SiSr,14,4.60,383
O3SiSr,221,2.38,709
O3SiSr,2,4.38,380
O5Si2Sr,64,4.06,498
OSiSr3,62,0.43,348
O7Sm2Sn2,227,2.70,385
O4SnSr2,138,2.65,402
O4SnSr2,139,2.57,444
O4SnSr2,64,2.70,411
O7Sn2Sr3,63,2.16,321
O3SnSr,140,1.56,523
O3SnSr,62,1.74,499
O3SnSr,221,0.97,568
O3SnSr,74,1.61,517
O7SnTa2,15,1.48,373
O6SnTa2,9,2.29,353
O7Sn2Ta2,227,1.49,396
O7Sn2Tb2,227,2.72,472
O4Sn2Ti,135,1.08,378
O7Sn2Tm2,227,2.65,351
O23Sn5W8,176,1.71,358
O22Sn5W8,176,1.72,358
O4SnW,52,0.92,422
O4SnW,198,3.84,390
O5Sn2W,14,2.49,314
O6Sn3W,15,2.20,280
O7Sn2Y2,227,2.75,479
PPrS4,142,2.28,313
PRbS3,71,1.83,256
PRb3S4,62,2.74,193
PS4Sc,2,1.94,182
PS4Sm,142,2.21,251
PS3Sr,14,3.11,290
PS6Ta,142,0.87,235
PS4Tb,142,2.17,274
P2S6Ti,43,1.39,223
P4S13V2,2,0.15,389
PS10V2,14,1.11,337
PS4Y,142,2.13,212
P2S6Zr,84,1.53,178
Pr8S15Sb2,110,1.89,239
Pr6S17Si4,2,2.54,317
Rb3S4Sb,62,2.02,210
Rb2S7Sb4,14,1.22,111
Rb2S7Sb4,2,1.83,99
Rb2S3Si,12,2.82,166
Rb4S4Sn,218,2.41,243
Rb6S7Sn2,19,2.12,251
RbS4Sn,60,1.33,266
RbS4Sn,14,1.46,132
S17Sb6Sr6,19,1.74,307
S9Sb4Sr3,33,1.04,256
S17Si4Sm6,2,2.48,266
S12Si3Tb4,14,2.37,269
S5Sm2Sn,55,0.00,265
S4SnSr2,40,2.47,284
S5SnTb2,55,0.13,283
S3SnZr,62,0.99,226
AlB3CaO7,67,5.38,732
Al2B2Cs2O7,14,4.24,218
Al2B2K2O7,150,4.59,393
AlB8K3O15,14,5.00,635
AlBLi2O4,14,4.86,622
AlB2LiO5,15,5.41,530
AlB5Li2O10,14,5.63,698
AlBMgO4,62,6.01,696
Al2B2O7Sr,155,4.65,523
AlBaCaF7,13,7.00,310
AlBaF6Li,14,7.70,243
AlBaF6Na,33,6.98,172
AlBa2InO5,194,2.02,351
AlBaLaO4,19,4.43,388
AlBa2NdO5,4,3.69,382
Al2BaO7Sb2,155,3.41,388
Al2Ba7O19Sc6,194,2.48,388
Al2BaO8Si2,14,4.82,442
Al3C2O5Sc3,194,0.41,749
AlCOSc,166,0.38,828
Al2CaF9K,20,7.14,153
AlCaF6Li,163,7.64,394
AlCaF6Na,150,7.11,308
AlCaF6Na,14,6.91,211
Al2Ca3F14Na2,199,7.14,249
AlCaLiN2,14,2.78,642
Al2Ca5N8Si2,60,2.79,676
Al6Ca4O12S,217,3.73,709
Al12CaO27Si4,147,5.24,723
Al2CaO8Si2,2,4.99,538
Al2Ca2O7Si,113,4.28,618
AlCaO5Ta,14,3.93,478
AlCaO5Ta,15,3.90,483
AlCe3MgS7,173,0.04,314
Al2ClF25Sr10,227,6.42,257
Al2Cl2O5Sr3,19,4.22,362
Al3Cs2F12Li,166,7.09,195
Al3Cs2F12Na,166,6.92,183
AlCs2F6Na,166,6.70,179
AlCs3Ge2O7,15,3.65,178
Al3CsO20P6,41,5.67,511
AlCs2O10P3,14,4.91,347
Al2Cs2O7Sb2,164,3.64,311
AlF6K2Li,225,7.44,348
AlF6K2Li,166,7.22,311
Al3F12K2Na,11,6.83,142
AlF6K2Na,225,6.86,290
Al2F2K2O3,12,4.02,425
AlF6LiNa2,14,7.21,374
Al2F12Li3Na3,230,7.09,240
AlF6LiSr,14,7.18,376
AlF6LiSr,163,7.32,385
AlF6LiYb,163,7.69,357
AlF7MgNa2,46,6.67,418
AlF7MgNa2,74,6.66,398
Al6F21NaRb2,5,7.00,245
Al3F12NaRb2,11,7.15,144
Al5F26Na3Sr4,86,6.92,300
Al6F34Na2Sr7,12,6.95,302
AlF6NaSr,33,6.98,294
AlFO4Sr3,140,4.04,442
Al2Gd2O7Sr,139,2.63,554
AlGe2LiO6,14,3.38,373
AlGeO5Y,55,3.81,586
AlKLi4O4,14,3.97,576
AlKO12P4,12,5.18,433
Al2K2O7Sb2,164,3.50,370
AlKO8Si3,2,4.93,400
Al4La17N33Si9,216,1.88,572
Al15La3O37Ti5,9,1.40,714
AlLa3S7V,173,0.08,310
AlLiO12P4,60,5.74,432
AlLiO6Si2,15,5.37,471
AlLiO6Si2,14,5.30,483
AlLiO10Si4,13,5.32,375
Al4Mg2O18Si5,66,4.82,526
AlMoO7V,62,2.33,521
AlNNd2O3,107,1.06,431
AlNO3Pr2,107,1.61,418
AlNO3Sm2,107,1.81,456
AlN7Si4Sr,33,3.58,735
Al2Na3Nb34O64,148,0.02,698
AlNa3O23P8,213,5.24,443
AlNaO6Si2,15,5.23,444
AlNaO8Si3,2,0.35,359
Al5NaO12Ti2,55,2.72,567
Al2Nb35O70Rb4,147,0.01,770
AlNbO8Sr4,14,2.95,303
Al3O20P6Rb,20,5.44,513
Al2O7Rb2Sb2,164,3.59,347
AlO4RbSi,33,4.38,381
Al6O12SSr4,217,3.34,601
Al3O12Sc2Y3,230,4.27,695
Al4O15Sr6Y2,5,3.99,464
B4BaBi2O10,14,3.35,423
BBaBiS4,12,1.93,170
B6Ba2CaO12,148,4.96,638
BBa2ClN2,214,2.75,340
