Formula,Space group number,Band Gap (eV),Debye T (K)
B5Ba2ClO9,34,5.24,547
BBa2Cl17Zr6,87,1.09,359
B3BaCsO6,150,4.04,375
B5Ba8FN10,2,2.22,279
BBaF3O,62,5.89,382
B4Ba5F2O10,15,4.51,239
B2BaGa2O7,63,3.98,388
B9Ba3InO18,176,4.72,645
B5BaKO9,14,4.87,584
B9BaLiO15,161,5.67,749
B9BaLiO15,167,5.67,748
B5Ba2LiO10,11,4.95,524
B3BaLiS6,9,2.86,291
BBaLiS3,14,2.15,169
B9Ba3LuO18,176,5.25,567
B6Ba2MgO12,148,5.21,623
B3Ba4N6Na,229,2.04,366
B2Ba4N4O,64,2.80,322
B9BaNaO15,161,5.50,729
B5BaNaO9,14,5.01,586
B9Ba3O18Sc,176,5.28,553
B4Ba2O11Sc2,15,3.35,442
B6Ba3O16Si2,2,5.40,577
B9Ba3O18Y,176,5.19,553
B6Ba3O15Y2,206,4.52,447
BBaS4Sb,62,2.34,201
B4Bi2O10Sr,2,3.65,435
B3Br5C6Ce9,59,0.00,339
B5BrCa2O9,34,5.20,731
B5BrEu2O9,34,0.88,538
B6BrK3O10,160,5.21,699
BBr20K8Zr6,225,0.08,344
B2C4Ca9Cl8,63,1.37,405
BC4Ca5Cl3,63,0.73,537
BCa2ClN2,62,3.33,447
BCa2FN2,62,2.93,531
B6Ca10Ge16O51,32,3.10,478
B10CaLa2O19,5,4.54,669
B3Ca4LiN6,229,2.19,745
B2CaMgO5,14,5.31,584
B5CaNa3O10,2,4.43,580
B2Ca2O7Si,113,5.74,655
B2CeClO4,2,0.20,399
B2Ce6Ge9O30,14,0.04,569
BCl20Cs3Zr7,167,1.20,333
B2Cl2Er2O5,55,5.08,208
B5ClEu2O9,34,0.87,552
B2ClLaO4,2,4.15,378
B14Cl2Li10O25,196,6.43,948
BClMg2N2,61,3.67,537
B7ClMg3O13,219,6.01,861
B7ClMg3O13,29,5.93,835
BClN2Sr2,62,2.75,276
B2ClO4Pr,2,5.07,389
B5ClO9Sr2,34,5.34,646
B3CsGeO7,33,4.60,329
B6CsLiO10,122,5.08,618
B5Cs2Li3O10,20,4.53,523
B7Cs3Li4O14,152,4.52,545
BCsLi2S3,62,3.09,176
B10Cs2Na2O17,15,4.71,638
B2CsNbO6,31,3.30,261
B2CsO6Ta,31,3.40,300
B6FLiO9,33,6.46,828
BFN2Sr2,62,2.57,323
B4GaNa3O9,11,4.37,555
B2Ga2O7Sr,63,3.97,465
B5GdMgO10,14,3.02,567
BGe2KO6,19,3.50,265
B4GeO9Rb2,4,4.08,354
B6Ge3O17Rb4,9,3.86,319
B2InLi3O6,14,3.43,512
B4KLiO7,19,5.08,635
BKN2Na2,139,1.82,615
B9K2NaO15,14,5.30,694
BKO6Si2,19,5.32,385
B5KO9Sr,14,5.14,665
B2KO6Ta,31,3.61,353
B2K3O12Ta3,189,2.67,431
B5LaMgO10,14,4.74,609
BLaMoO6,14,3.55,309
BLa3N2O3,62,1.21,332
BLa6N3O6,63,1.10,298
B3LiN6Sr4,229,2.07,546
B4LiNaO7,43,5.80,695
B4LiO7Rb,19,4.87,571
B11Li6O22Rb5,5,4.36,617
B7Li5O14Rb2,40,4.59,703
BLiO6Si2,4,5.59,354
B9LiO15Sr,161,5.65,807
B12Li2O23Sr4,14,4.70,718
B3LiS6Sr,9,2.91,392
BLiS3Sr,62,2.39,257
B5MgNa3O10,61,4.70,589
B2MgO5Sr,14,4.70,538
B3N6NaSr4,229,1.97,505
BNOSr,14,3.40,526
B5Na3O8S,14,3.87,794
B2NaO5Sc,14,4.92,493
BNaO8Si3,2,5.28,347
B5NaO9Sr,14,5.23,682
B5Na3O10Sr,2,4.56,652
B2NbO6Rb,7,3.38,283
B4O11Sc2Sr2,2,4.34,515
Ba3BiCl3O3,62,3.93,206
BaBiClO2,63,3.18,328
Ba2BiDyO6,225,1.72,410
Ba2BiInS5,36,1.45,294
Ba4Bi3KO,140,0.73,144
BaBi2LaS6,14,0.67,76
Ba3BiNaO6,167,1.93,354
Ba4Bi3NaO12,229,0.27,316
BaBi2Nb2O9,36,2.22,327
Ba2BiNdO6,12,1.67,373
Ba2BiO6Sb,225,1.64,353
Ba2BiO6Sb,12,1.70,319
Ba2BiO6Sb,148,1.78,340
Ba2BiO6Ta,225,2.68,406
Ba2BiO6Ta,12,2.54,350
Ba2BiO6Ta,148,2.59,383
BaBi2O9Ta2,139,1.92,403
Ba2BiO6Tb,12,1.72,379
Ba2BiO6Y,225,1.82,384
Ba2BrInO3,129,1.83,324
Ba3Br2In2O5,139,1.29,291
BaCaF7Ga,13,5.85,325
BaCaGa4O8,44,3.06,527
BaCa2N12P6,205,4.07,590
Ba3Ca2N6Si2,15,1.55,416
BaCaO12P4,14,5.52,467
Ba3CaO9Sb2,15,3.16,317
BaCa2O9Si3,2,4.57,469
Ba8Ce3O24Sb4,139,1.88,334
Ba2ClInO3,129,1.91,338
Ba3Cl2In2O5,139,1.43,309
BaClO2Sb,63,2.88,323
BaCs4O18P6,159,5.11,424
Ba2DyO6Sb,225,3.47,437
Ba3Dy2P4S16,60,2.37,353
Ba6Er2Ga4O15,13,3.53,340
Ba2ErO6Sb,225,3.38,440
Ba3Er2P4S16,60,2.38,342
Ba2EuO6Sb,225,0.00,425
Ba2FInO3,129,2.05,356
Ba3F2In2O5,139,1.59,335
Ba2F2S3Sn,62,2.31,216
Ba3Ga2Ge4O14,150,2.25,413
BaGaLaO4,19,3.95,374
Ba4GaN3O,61,1.18,318
BaGaNdO4,19,3.73,414
Ba2GdO6Sb,225,0.12,440
Ba3Gd2P4S16,60,1.45,327
BaGe3K4O9,5,3.23,269
BaGe8K2O18,165,3.00,425
Ba3GeMgN4,52,1.29,347
BaGe3O9Sn,188,2.77,423
Ba2HoO6Sb,225,3.42,438
Ba3Ho2P4S16,60,2.38,351
BaIn2La2O7,136,2.46,370
Ba2InNbO6,225,3.35,422
Ba2KO15P5,7,5.14,464
Ba4KOSb3,140,1.02,181
BaK4O9Si3,40,4.23,361
BaKPS4,62,2.39,156
Ba2LaO6Sb,148,3.96,360
Ba2LaO6Sb,14,3.84,322
Ba2Li3O21P7,14,5.45,466
Ba4LiO12Sb3,229,1.45,268
Ba2LuO6Sb,225,0.02,425
Ba4MgN6Si2,70,1.59,364
Ba3MgO9Sb2,194,2.65,286
Ba2N23Nd7Si11,65,0.62,651
Ba3N8O6P6,147,4.55,568
Ba3N2O12Si6,147,4.63,304
Ba3N4O9Si6,143,4.37,405
BaN2O2Si2,60,3.01,423
BaN8OSi6,44,4.23,862
BaN12P6Sr2,205,4.15,567
BaN7Si4Y,186,2.73,660
BaNaO9P3,19,5.31,377
Ba4NaO12Sb3,229,1.52,247
BaNa2O6Si2,4,4.17,339
Ba6Nb14O47Si4,185,0.04,678
Ba2NdO6Sb,225,3.66,440
Ba2NdO6Sb,148,3.73,424
Ba2Nd2O13Si4,2,5.05,423
Ba2O6PrSb,225,3.68,435
Ba2O6PrSb,148,3.77,419
Ba4ORbSb3,140,0.94,187
Ba2O6SbSm,225,3.61,427
Ba3O9Sb2Sr,2,3.14,291
Ba2O6SbTb,225,3.51,440
Ba2O6SbY,225,3.54,411
BaO9Si3Sn,188,3.72,477
BaO9Si3Ti,188,3.06,422
BaO10Si3Y2,11,4.81,476
Ba3P4S16Tb2,60,2.37,336
Bi2BrDyO4,123,1.33,297
Bi2BrErO4,123,1.35,280
Bi2BrGdO4,123,0.99,290
Bi2BrHoO4,123,1.37,296
Bi6BrKO9,230,2.33,241
Bi2BrLuO4,123,1.40,267
Bi2BrNdO4,123,1.22,303
Bi2BrO4Pr,123,1.23,312
Bi2BrO4Sm,123,1.28,322
BiBrO2Sr,63,3.16,356
Bi4Br7O2Ta2,128,0.06,140
Bi2BrO4Tb,123,1.29,299
Bi2BrO4Tm,123,1.35,295
Bi2BrO4Y,123,1.34,269
BiCaClO2,11,3.62,362
BiCa2Na3O6,70,1.75,471
Bi2CaO9Ta2,36,3.21,381
BiCl6CsK2,15,3.92,77
Bi2ClDyO4,123,1.36,306
Bi2ClErO4,123,1.85,290
Bi2ClGdO4,123,0.85,301
Bi2ClHoO4,123,1.37,306
Bi6ClKO9,230,2.35,243
Bi2ClLuO4,123,1.46,280
Bi2ClNdO4,123,1.18,312
Bi2ClO4Pr,123,1.12,321
Bi2ClO4Sm,123,1.68,329
BiClO2Sr,63,3.30,370
BiCl3O3Sr3,62,4.00,262
Bi4ClO8Ta,123,1.01,232
Bi2ClO4Tb,123,1.34,309
Bi2ClO4Tm,123,1.41,304
Bi2ClO4Y,123,1.31,282
BiCs2F6K,225,4.95,194
BiCs2F6Na,225,5.02,222
BiCs2F6Rb,225,4.77,186
BiCsGeS4,14,2.01,140
BiCsNb2O7,26,2.48,367
BiCsS4Si,14,2.59,145
BiF6KRb2,225,4.80,203
BiF6NaRb2,225,4.92,233
BiGeKS4,14,2.00,113
BiGeRbS4,14,1.98,128
BiKLi6O6,166,1.42,574
BiKO12P4,14,4.89,424
BiKO8W2,15,2.71,430
BiKP2S6,4,2.22,235
BiKP2S7,14,2.44,263
BiK3P2S8,19,2.09,256
BiK9P4S16,18,2.06,359
BiKS4Si,14,2.05,122
Bi4LiNb3O14,15,2.74,285
BiLuO6Sr2,14,1.91,395
BiMg2O6P,63,3.78,322
BiMg2O6V,63,3.36,389
BiNaO12P4,14,4.63,430
Bi2NaO11Sb3,201,2.41,273
BiNaO6Sr3,167,1.73,428
Bi3NaO10V2,1,2.70,219
Bi2Nb2O9Sr,36,2.46,403
BiNdO6Sr2,14,1.70,369
Bi2O12Sm2Ti3,139,1.90,446
Bi2O9SrTa2,36,1.58,393
Bi2O9SrTa2,41,2.30,390
Bi2O9SrTa2,139,2.00,427
BiRbS4Si,14,2.08,130
BrCe3S8Si2,15,0.12,215
Br6Cs2InNa,225,1.89,137
BrF3RbSb,2,3.75,308
Br2LaS2Sb,14,2.10,161
BrLa3S8Si2,15,2.63,175
BrLi6PS5,216,2.13,415
BrNd3S8Si2,15,2.73,239
BrPr3S8Si2,15,2.63,247
BrS8Si2Sm3,15,2.61,286
CHo2N6Si4,14,3.21,640
CN6Si4Y2,14,3.10,717
Ca2Cl2O3Si,79,5.10,452
CaF6GaLi,163,6.40,439
Ca3Ga2Ge3O12,230,2.98,532
CaGaLaO4,62,3.46,447
CaGaLiN2,14,2.13,527
CaGeO5Zr,2,0.59,501
Ca2InNbO6,14,3.43,475
CaKO9P3,188,5.04,433
Ca4K2O21Si8,2,4.58,549
Ca3K2O10Si3,15,4.75,446
Ca3LiN5Si2,15,2.44,626
Ca3Li4N6Si2,12,2.29,802
Ca4Li2O13Si4,2,4.46,463
Ca2Li2O13Si5,2,4.80,513
CaMgO6Si2,15,4.97,511
Ca7N9NbSi2,11,1.99,586
CaN2O2Si2,4,4.37,628
CaNa2O12P4,125,5.37,468
CaNa4O18P6,15,5.20,461
Ca3Na2O10Si3,15,4.38,414
Ca3Na2O16Si6,2,4.30,459
CaNb2O11P2,15,2.47,498
CaO10S6Sb10,15,1.75,300
Ca2O6SiTi,225,2.36,739
Ca2O12Si4Zr,11,4.85,399
Ce3ClS8Si2,15,0.00,234
CeKO12P4,4,0.23,369
CeKO12P4,14,0.16,335
CeK2O15Si6,15,2.22,468
CeK3P2S8,14,0.17,146
CeKS4Si,11,0.00,179
CeKS4Si,4,0.13,145
CeNaO12P4,14,0.18,349
ClCsF3Sb,121,3.66,275
Cl6Cs2InLi,166,3.23,136
Cl5Dy3O6Si2,12,4.77,225
Cl2Eu2O3Si,87,0.64,277
ClF3KSb,61,4.43,259
Cl3F10K3Sn5,63,3.29,152
Cl3F2Rb2Sb,2,3.06,225
Cl5Gd3O6Si2,12,2.53,271
Cl9InLiNb3,2,0.95,282
Cl6InLiRb2,225,2.83,248
Cl6InNaRb2,225,3.05,203
ClLa3S8Si2,15,2.61,187
ClLi6PS5,216,2.14,401
Cl12NNbP2,15,2.43,209
Cl12NP2Ta,15,2.87,171
Cl7NPTa,14,3.17,152
Cl11NP2Zr,64,2.86,247
Cl14NSb2V,14,1.19,303
Cl14N2Si4Ti,19,2.52,316
Cl5NbP2S2,14,1.69,156
Cl5NbP4S10,2,1.20,179
ClNd3S6Si,62,2.56,309
Cl5O6Si2Sm3,12,4.61,255
Cl2O3SiSr2,87,5.12,297
Cl5O6Si2Tb3,12,4.69,274
Cl5O6Si2Y3,12,4.56,312
Cl5P2S2Ta,14,2.34,194
ClPr3S8Si2,15,2.74,275
ClS6SiSm3,62,2.56,353
CsErO12P4,14,5.81,373
CsErS4Si,19,3.03,157
CsEuO12P4,14,0.01,423
Cs2F6GaLi,164,6.13,260
Cs2F6GaNa,166,5.97,223
Cs2F6InK,225,5.46,209
Cs2F6InNa,225,5.30,235
CsF6NaSn,60,5.14,140
Cs2F10OSb2,13,3.87,144
CsF7Rb2Si,127,5.73,184
CsGaK4O4,61,2.42,237
Cs2GaLi3O4,72,3.66,323
Cs2GaO10P3,14,4.35,337
CsGa2O16P5,7,4.64,464
CsGdO12P4,14,3.43,323
CsGdS4Si,19,1.72,157
Cs2GeO13P4,2,4.12,346
Cs2Ge3O9Sn,176,2.61,323
Cs2Ge3O9Ti,176,2.95,281
CsGeS4Sm,19,2.46,195
CsGeS5Ta,2,0.99,203
Cs2InNa3O4,14,2.07,275
CsInO12P4,205,4.32,333
CsLaO12P4,4,5.05,351
CsLiO6P2,43,5.62,302
Cs4Li2O15Si6,11,4.41,287
Cs2MgO12Si5,61,4.58,311
Cs3Mo6O38P10,2,0.97,497
CsNaO5Si2,33,4.46,250
Cs4Nb2O23Si8,2,3.73,332
CsNb2PS10,7,1.51,159
CsNdO12P4,4,5.30,388
CsNdO12P4,14,5.49,361
Cs3NdP2S8,14,2.18,181
CsO12P4Pr,4,5.30,377
CsO12P4Pr,14,5.47,348
CsO12P4Tb,4,5.31,364
CsO16P5V2,7,0.01,419
CsO12P4Y,14,5.52,340
CsO7SbSi2,33,3.23,261
Cs2O9Si3Sn,19,3.79,304
Cs2O15Si6Ti,15,3.29,400
Cs2O15Si6Ti,9,3.51,408
Cs2O9Si3Zr,176,4.79,310
Cs2O15Si6Zr,12,4.95,337
Cs3P2S8Sm,14,2.19,254
CsPS6Ta,14,1.79,208
CsP2S8Ti,9,1.37,181
CsS4SiSm,19,2.84,155
Dy3FO10Si3,14,5.11,382
DyKO12P4,15,5.28,441
DyKO12P4,14,5.47,415
DyLiO12P4,15,5.93,460
DyNa3O15Si6,64,4.51,480
DyO6SbSr2,14,3.66,412
Er3FO10Si3,14,5.10,376
ErKO12P4,4,5.29,417
ErKO12P4,20,5.37,377
ErKO12P4,14,5.49,385
ErKP2S7,14,2.66,139
ErLiO12P4,15,5.92,429
ErNaO12P4,14,5.54,397
ErNaP2S6,2,2.54,128
Er3P4Rb3S16,14,2.28,208
EuGeKS4,4,0.01,156
EuGeLi2S4,121,0.20,251
EuKO12P4,4,0.00,465
EuKPS4,62,0.01,180
EuKS4Si,4,0.27,144
EuLiO12P4,15,4.08,449
EuLiPS4,142,0.00,214
EuMg3N4Si,88,0.16,623
EuN2O2Si2,1,0.31,436
EuN7Si4Y,186,0.55,679
EuNaO12P4,14,4.04,422
EuRbS4Si,19,0.46,156
F6GaKRb2,225,5.89,276
F6GaLiRb2,166,6.11,317
FGaO4Sr3,140,3.68,426
FGd13Ge6O31,146,2.96,278
FHo3O10Si3,14,5.11,380
F6InK2Na,225,5.24,299
F12In2Li3Na3,230,5.29,296
F7InMgNa2,62,4.97,310
F6InNaRb2,225,5.34,288
F6KNaSi,62,6.98,223
F6KNaSn,33,5.17,232
F2K2O5P2,15,5.04,475
F14K4Sb2Sn,2,4.08,280
F7KSnZr,53,4.01,230
F3La5O12Sb4,130,3.31,218
FLaO3Si,190,4.60,312
F9MoOSb,14,3.68,227
F6NaRbSn,60,5.10,155
FO5Pr2Sb,4,3.51,358
F10ORb2Sb2,14,3.77,117
FO10Si3Y3,14,5.14,464
F2S3SnSr2,62,2.08,277
Ga3Gd3O12Sc2,230,0.49,544
GaGe5La3O16,2,3.27,530
Ga2GeLi2S6,43,2.13,140
GaGeNSr2,11,0.48,389
GaGe2NaO6,15,2.64,324
GaK2Li3O4,14,3.42,441
GaKNa2O3,62,2.51,488
GaKNa4O4,61,2.60,411
GaKO12P4,12,4.55,435
GaLaOS2,57,1.93,284
GaLa3OS5,62,1.20,167
Ga5La3O14Sn,150,3.31,529
GaLiN2Sr,12,1.84,442
GaLi3Na2O4,58,3.24,582
GaLiO6Si2,15,4.27,441
GaLiO6Si2,14,4.31,429
GaLiO8W2,13,3.45,462
GaMgMo4O7,74,0.00,552
GaMo4S8Si,216,0.02,520
GaN3OSr4,61,1.13,391
Ga4NaNdS8,70,2.10,149
GaNa3O23P8,213,5.00,457
GaNaO6Si2,15,4.17,421
Ga2Nd4O4S5,61,3.00,238
Ga3O20P6Rb,20,4.79,485
Ga2O16P5Rb,7,4.65,467
GaO6SbSr2,225,0.73,487
GaO6SbSr2,87,1.29,465
GaO6Sr2Ta,87,4.04,516
GdKO12P4,15,3.22,362
GdKO12P4,4,3.12,377
GdKO12P4,14,3.49,334
Gd3K3P4S16,15,1.50,224
GdLiO12P4,15,3.47,391
GdNaO12P4,14,3.36,356
GdO12P4Rb,14,3.47,327
Ge2InKO6,15,2.31,317
GeKLaS4,4,2.30,122
GeKNO,29,2.68,366
GeKNaO3,33,3.03,350
Ge2K3Nb3O13,189,2.32,456
GeKNdS4,4,2.49,138
GeK2O15Si6,9,4.37,494
Ge3K2O9Sn,165,2.63,382
Ge3KO9Ta,188,3.51,318
Ge3K2O9Ti,165,2.85,306
GeKS4Tb,4,2.45,172
GeKS4Y,4,2.42,208
Ge2Li4N6Sr3,12,2.05,614
Ge4LiNaO9,29,2.66,338
Ge2LiO6V,14,2.03,398
GeMgN4Sr3,52,1.41,438
Ge2NaO6Sc,15,3.55,357
Ge2NaO6V,15,2.05,383
Ge3NbO9Rb,188,3.17,242
Ge4O17Rb14Si6,14,1.34,311
Ge3O9Rb2Sn,165,2.38,345
Ge3O9RbTa,188,3.47,313
Ge3O9Rb2Ti,165,3.07,275
GeRbS5Ta,2,0.92,217
HoKO12P4,15,5.33,440
HoK3O9Si3,31,3.76,337
HoLiO12P4,15,5.93,457
HoO12P4Rb,14,5.77,409
HoO6SbSr2,14,3.64,415
In2KNa9O8,62,1.71,420
InK2Na3O4,58,1.92,373
InK3Na2O4,14,1.91,282
In3K5O21Si7,33,3.84,409
In2K4O21Si8,14,3.80,487
InKP2S7,5,2.04,260
InK2P2S7,12,1.87,219
InLiMo2O8,15,2.83,434
InLiO6Si2,15,3.85,392
InNa3O4Rb2,58,2.16,349
InNaO6Si2,15,3.48,397
InNaO8W2,13,3.48,398
InNbO6Sr2,14,3.39,449
InO6SbSr2,14,1.75,390
KLaO12P4,36,4.35,349
KLaO12P4,4,4.89,377
K3LaP2S8,14,2.45,135
K2LaP2S7,14,2.26,107
KLaP2S6,14,2.67,103
KLaS4Si,11,2.69,146
KLaS4Si,4,2.94,117
KLiO6P2,14,5.48,366
KLiO6P2,15,5.29,367
KLiO5Si2,4,4.71,431
K3LuO9Si3,31,3.48,328
KMgO9P3,188,4.95,415
KMoO5Sb,14,3.37,357
KMo2O8Sb,2,2.54,471
K2Na3O10P3,15,4.39,424
KNa2O9P3,2,5.05,426
K4Na2O15Si6,15,4.33,383
KNaO5Si2,14,4.28,349
K4Nb2O23Si8,2,3.79,379
KNbO7Si2,100,3.43,383
KNb2PS10,29,1.50,180
K2NdO15P5,9,5.25,418
KNdO12P4,15,5.36,399
KNdO12P4,4,5.34,413
K3NdO15Si6,55,4.14,397
K3NdO17Si7,147,4.71,450
K3NdP2S8,14,2.44,161
K2NdP2S7,14,2.35,131
K3Nd3P4S16,15,2.42,251
KO12P4Pr,15,5.35,390
KO12P4Sm,15,5.30,470
K2O12P4Sr,82,5.60,483
KO12P4Tb,4,5.32,391
KO24P7V4,2,1.84,498
KO12P4Y,15,5.35,383
KO12P4Y,4,5.33,396
KO12P4Yb,14,0.04,448
K3O9S3Sb7,173,1.83,164
K6OS6Si2,14,3.15,305
K2O9Si3Sn,146,3.86,434
K2O9Si3Sn,176,3.83,462
K4O9Si3Sr,40,4.16,387
K2O9Si3Ti,146,3.37,404
K2O9Si3Ti,176,3.19,426
K2O15Si6Ti,9,3.44,432
K2O15Si6Ti,2,3.25,439
K2O15Si6Ti,4,3.44,435
K2O9Si3Zr,176,4.81,388
KP2S6Sb,4,2.27,236
K2P2S7Sm,5,2.22,237
KP2S7Sm,14,2.63,250
KPS6Ta,14,1.73,344
KPS5Ti,12,1.22,220
K4P2S9V,33,1.29,238
KP2S7V,5,0.07,233
KS4SiY,4,2.79,161
K2S11Sn2Y4,130,1.58,248
LaLiO12P4,15,5.21,356
La2LiO6Sb,14,3.89,434
LaNaO12P4,14,5.10,316
La2O2S3Sn,62,1.67,214
LaRbS4Si,62,2.79,146
Li2Mg2O11Si4,2,4.93,499
Li2NO2P,36,5.60,774
LiNOSi,29,5.25,808
Li2N4Si2Sr,205,3.44,788
LiNdO12P4,15,6.08,397
LiO12P4Tb,15,6.06,399
LiO12P4Y,15,6.07,416
LiO6SbW,60,2.12,407
LiO6ScSi2,15,4.92,486
LiO6ScSi2,14,4.93,469
LiO6Si2V,15,2.07,486
LiO6Si2V,14,1.88,477
LuNa5O12Si4,155,3.68,419
Mg4N12P6S,217,4.83,660
Mg2Na3O16P5,13,4.81,460
Mg2Na2O15Si6,64,4.41,463
MgO12Rb2Si5,61,4.78,357
MoNaO5Sb,14,3.42,342
N8O6P6Sr3,147,4.50,611
N4O3Si3Y2,113,2.79,679
N7Si4SrY,186,2.74,719
NaNb2PS10,15,1.65,197
NaNdO12P4,14,5.60,362
NaNdO14Si6,72,4.80,445
Na3O8PSi2,19,3.15,426
Na2O12P4Sr,125,5.33,469
Na3O23P8Ti,213,0.21,421
Na2O6PV,14,3.34,447
Na2O13P2V3,56,1.78,445
Na3O23P8V,213,2.43,423
NaO12P3V3,74,0.15,461
NaO12P4Y,14,5.59,368
NaO14PrSi6,72,4.79,448
NaO5RbSi2,14,4.44,342
Na3O4RbSn,88,2.25,325
NaO6SbSr3,167,2.92,333
NaO12Sb3Sr4,14,2.09,230
Na4O13Sc2Si4,33,4.60,443
NaO6ScSi2,15,4.95,439
Na8O18Si6Sn,166,3.80,450
Na2O9Si2Ti2,60,3.26,463
Na2O11Si4Ti,87,2.73,399
NaO6Si2V,15,2.00,462
Na3O15Si6Y,64,4.53,528
NaO6Si2Y,14,4.71,385
NaO6Si2Y,15,4.80,395
Na2O11Si4Zr,15,4.58,349
NaP2S6Sb,14,2.18,209
NaP2S6Sb,4,2.15,212
NaP2S6Sm,14,2.79,218
NaP2S6Yb,2,1.70,238
NaS7SiSm3,173,2.02,154
NaS7SiY3,173,2.20,298
NbO5RbSi,19,3.21,378
Nb2O23Rb4Si8,2,3.72,363
Nb2PRbS10,7,1.55,181
Nb2P2Rb2S11,11,1.16,128
NdO12P4Rb,15,5.30,393
NdO12P4Rb,14,5.45,368
O13P4Rb2Si,2,5.17,392
O12P4RbSm,15,5.30,461
O12P4RbTb,14,5.49,344
O12P4RbTm,14,5.47,422
O12P4RbY,14,5.48,350
O9Rb2Si3Sn,176,3.80,433
O15Rb2Si6Ti,9,3.49,424
O9Rb2Si3Ti,176,3.14,400
O6SbSmSr2,14,3.60,380
O6SbSr2Y,225,3.51,488
O6SbSr2Y,14,3.70,429
O7Si2SrTi,63,3.61,481
O10Si3SrY2,2,4.93,517
P4Pr3Rb3S16,2,2.29,246
P2Rb3S8Sm,4,2.19,266
PRbS6Ta,14,1.72,346
PRbS5Ti,12,1.19,195
P5Rb3S18Zr2,9,1.98,352
